,course_id,title,instructors,key_words,course_descr
723,leadership-collaboration,"High Performance Collaboration: Leadership, Teamwork, and Negotiation",Leigh Thompson,Business Leadership and Management Negotiation Leadership Team Management Collaboration,"Are leaders born or made?  Learn the essential skills to develop and expand your leadership repertoire,  design teams for collaboration, and craft win-win negotiation strategies. High Performance Collaboration: Leadership, Teamwork, and Negotiation focuses on leadership, teamwork, and negotiation. Students will engage in self-assessments to analyze their leadership style, develop team charters to optimize their groups, and develop a game plan for effective negotiation.

Recurring course sessions repeat every 2 weeks on Monday with an enrollment period of 5 days. Introduction to the Organizational Leadership Specialization Leadership Teamwork  Negotiation"
724,leadership-development-planning,Personal Leadership Development Planning and Leading High Performing Teams,David Van Kleeck,Business Leadership and Management ,"An actionable leadership improvement plan enables you to leverage strengths and close the gaps on weaknesses. In this course, you will build your own plan that you can put into practice immediately and realize goals within the next two years. It lays the foundation for an evergreen process of selection and prioritization of skills, and action planning for sustained leadership development. Module 0 - Welcome Module 1 - Leadership Development Plan Module 2 - Pro-active Performance Improvement and Goal Setting Module 3 - Launching Creative Project Teams Leadership Development Plan Writing Assignment Module 4 - Creating a Motivating Team Environment"
725,leadership-skills,Building Your Leadership Skills,Valérie Gauthier,Business Leadership and Management Confidence Communication Leadership Human Resources (HR),"When taking this course, you will raise your own self-awareness and gain self-confidence for a better leadership. 
You will discover a new approach to leadership based on trust and sense. 
The “Savoir-Relier” leadership, a new approach of leadership, taught to HEC MBA’s student and top executives, enables better team leadership and encourages relationships between people in spite of their differences of opinion. 

You will develop relational skills, self-knowledge and self-awareness on the way to unfold your own leadership style. You’ll learn the skills of The Savoir-Relier (SR) methodology for better connecting with yourself or others by going through the following 4 steps for successful leadership: Introspection, Conversation, Resilience and Responsibility toward Value Creation. 
In this first MOOC of the ""Inspirational Leadership"" specialization, you will practice the first two steps of the method for successful leadership: Introspection and Conversation. You will get to know yourself better during the Introspection part and get a chance to improve your communication skills in order to better interact with others. You will meet people like you who will share their stories and their experience with Savoir-Relier and why it is so inspiring for them in their life. Together, you’ll develop greater self-awareness by developing a leadership self-portrait and going through fun activities to increase your empathy and communication.

Leaders from different organizations and participants of the HEC Paris Leadership Certificate, the program from which this course and specialization are inspired, will share with you their insights about what it takes to become a great leader and what they are able to achieve now that they apply The Savoir-Relier methodology. 

This course is part of the specialization “Inspirational Leadership: Leading with Sense”. In the next courses, you'll go through the second two steps of leadership: Resilience and Responsibility toward Value Creation. Your inspirational leadership journey Introspection to grow your self-awareness and sensibility The Duo learning to manage quality relationships"
726,leadership-socialinfluence,Leadership Through Social Influence,Daniel J. O’Keefe,Business Leadership and Management Communication Negotiation Leadership Communications Management,"This course will provide learners with a systematic general framework for analyzing persuasive influence situations. Learners will be able to identify different challenges faced by persuaders and to fashion appropriate strategies for addressing those challenges. The broad goal is to provide learners with not only an extensive persuasion tool kit, but also with an understanding of how different tools are useful in different situations. Specifically, the course will address four broad topics: strategies for influencing people’s personal attitudes; strategies for affecting social factors influencing behavior; strategies for affecting people’s perceived ability to undertake the desired behavior; and strategies for inducing people to act on their existing intentions. Influencing Attitudes  Influencing Social Factors  Influencing Perceived Ability Converting Intentions into Action "
727,leadership-storytelling,Leadership Communication for Maximum Impact: Storytelling,Tom Collinger Ernest Duplessis Hud Englehart Candy Lee,Business Leadership and Management Communication Leadership Innovation Crisis Management,"Storytelling is an essential part of leadership.  Effective leaders communicate to inspire talent to excel; to partner with investors and communities; to engage with customers and clients and to grow their impact in the world as part of a global community.  Cultivating an authentic, trustworthy and compelling narrative is vital to a leader’s success.    This course helps leaders find their own story through personal branding; develop storytelling success with all constituencies; initiate an effective voice for crisis; interact well through social and third party media; and communicate a vision for innovation. Leadership Lessons From Great Brands The Art of Leadership Storytelling Made Simple Storytelling in Crisis: The Ultimate Marketing Event Leadership Storytelling and Innovation "
728,leading-organizations,Leading Organizations,Valérie Gauthier,Business Leadership and Management ,"This course is the last course of the a Specialization on Leadership called “Inspirational Leadership: Leading with Sense”, so you may want to take the courses “Building Your Leadership Skills” and “Giving Sense to your Leadership Experience” prior of taking this course.

In this course you’ll get the opportunity to apply the skills learned in the first two courses of the “Inspirational Leadership: Leading with Sense” as an individual to a group setting. The group could not only be an organization such as a company or a team in a company, but also a private group such as your family or an association. 

Specifically, you’ll apply the 4 steps of The Savoir-Relier protocol to your group: 
1. defining the group identity by working on the group self-awareness, 
2. creating quality relationships within the group, 
3. working on resilience for the group to then be able to overcome difficult situation and 
4. Making the organization grow by creating sense and meaning.

So if you want your group to grow as a successful leader in its fields, if you want to find your identity as a group and create shared values for it, or if you want your group to become more resilient in face of change and crisis, this course is made for you! Finally, at the end of the course, you would have build sense for your group in order to be more efficient.

Using real-life cases you will see how the genuine, generous and generative characteristics apply to the development of successful organizations. For example, you will apply the Relational Circuit to recruit effectively, or the Self-Portrait and Conversation exercises to create team cohesion and resilience to overcome crises and interpersonal conflicts. You will be able to form trustworthy relationships in spite of diverging or different views, and you will grow respect in your environment where sense will be a driver for you and your surrounding.

Leaders from different organizations, will share with you their insights about how they have applied the Savoir-Relier approach to their company and how it has made the company more resilience and competitive. Self-awareness at the organization level Building quality relationships in the organization Building resilience for the organization Creating sense for the organization"
729,leading-sense,Giving Sense to Your Leadership Experience,Valérie Gauthier,Business Leadership and Management Communication Leadership Human Resources (HR),"With this course you will position your own leadership style and grow your resilience

In this course, second course of the ""Inspirational Leadership"" Specialization, you will discover the characteristics of charismatic leadership. 
You’ll personally learn how to embody these traits through the “Savoir-Relier” (art of connecting and leading with sense) methodology, which covers 3Gs: being Genuine, Generous, and Generative. 
You will then choose which style of leadership best fits you, why and when so you can adapt to more complex and difficult situations with resilience. 
In a “Self-Portrait” and “Conversation” with your classmates, you will be able to adjust your own ideas about your leadership styles and strengths, allowing you to increase your self-awareness, improve your relational intelligence, and prepare you to confront crises and resolve conflicts. 
You will also be better prepared to face difficult situations and make better decisions by relying on both your perception and analytical skills. All these skills will help you create sense in your team so you can lead it better.

This course is part of a Specialization on Leadership called “Inspirational Leadership: Leading with Sense”, so you may want to take the course “Building Your Leadership Skills” prior of taking this course.
As where in course 1 “Building Your Leadership Skills” you have mostly worked on your inner-self and on the relation between you and the other, in this course you’ll work on the relationship between you and the group, improving your leadership skills when interacting in a team. 

Leaders from different organizations and participants of the HEC Paris Leadership Certificate, the program from which this course and specialization is inspired, will share with you their insights about what it takes to become a great leader in a group or team and what they are able to achieve now that they apply The Savoir-Relier methodology. Understand your leadership style Positioning your leadership Embracing change from resilience Building sense for your leadership challenge"
730,leading-teams,Leading Teams,Scott DeRue Ph.D. Maxim Sytch Ph.D.,Business Leadership and Management Leadership Dynamics Leadership Management Team Management,"In this course, you will learn how to build your team, improve teamwork and collaboration, and sustain team performance through continuous learning and improvement. Specifically, you will learn best practices for composing a team and aligning individual and team goals. You will also learn how to establish roles, build structures, and manage decision making so that your team excels. This course will also help you manage critical team processes such as conflict resolution and building trust that have a profound impact on your team’s performance. You will discuss some of the best ways to harness the productive potential of teams while mitigating the risks and traps of teamwork.

In modern organization, most of work is done in teams, yet the results of teamwork are exceptionally mixed. Many teams are poorly designed and structured, fraught with dysfunctional conflict, experience coordination breakdowns and serious motivation challenges. As a result, many teams fail to realize their potential and frequently underperform even individuals working on similar tasks. After completing this course, you will acquire a set of tools and practices that enable you to effectively set up, run, evaluate, and continuously improve your team. Such insights will both make you a more effective team leader but also a standout contributor in team settings. Designing Your Team for Excellence Structuring Your Team for Excellence Managing Team Dynamics Creating Sustainable Team Performance and Learning"
731,leading-teams-project,Leading People and Teams Capstone,Scott DeRue Ph.D. Maxim Sytch Ph.D.,Business Leadership and Management Coaching Team Building Management Team Management Leadership,"The capstone project will consist of three options, and you will complete one of them as part of the course.

The first option is working with senior-level executives to help them solve their most pressing leadership challenges. Two (2) senior-level executives from leading organizations will provide detailed descriptions of ongoing leadership challenges that they are currently facing within their organizations. The challenges will be real and current. You will be asked to help the executives think through how best to approach and address their respective leadership challenges. Specifically, you will be tasked with drafting a memo to one of the executives outlining your recommendations for how best to address the leadership challenge. To offer effective advice and counsel, you will need to use course concepts and frameworks to (a) diagnose the fundamental issue(s), and then (b) develop a coherent set of solutions or recommendations. The memos will be evaluated based on how effectively you apply course concepts to diagnose the problem and how well you link your proposed solutions to the diagnosis. The best submissions will be sent to the executives for their review, and each executive will offer feedback that will then be shared with the entire class to advance everyone’s learning.

The second option is to identify your own leadership challenge (e.g., at work, at school, in your local community). You should be directly involved in the challenge, and the challenge must align with at least one topic from the specialization. You will develop a presentation where you use course concepts and frameworks to (a) diagnose the core leadership challenge and barriers to effective performance, and then (b) develop a coherent set of solutions or recommendations for your own leadership challenge.
 
The third option asks you to interview an executive of your choosing. In this interview, you will ask questions about the challenges faced by that executive with respect to leading people and teams, as well as the practices used by the executive to address his or her challenges. In your written submission, you will use course concepts to organize the major leadership challenges faced by the executive, highlight the strategies and practices used by the executive to address the core leadership challenges, and then to evaluate the effectiveness of the executive’s practices related to leading people and teams.

You can expect to receive staff feedback on your assignment 4 to 8 months after you submit your assignment. Welcome to the Capstone Milestone 1 Milestone 2 Milestone 3 Completing the Capstone Completing the Capstone: Lesson Choices"
732,leading-the-life-you-want,Leading the Life You Want,Stewart D.  Friedman,Business Leadership and Management ,"Pursue a meaningful life and improve your performance as a leader. Taught by acclaimed Wharton professor, best-selling author, and former Ford Motor Company executive and head of its Leadership Development Center, Stew Friedman, Leading the Life You Want provides you with the skills you need to lead in all four domains of your life: at work, at home, in the community, and in your private self (mind, body, and spirit). You'll explore the core principles of leadership and learn the skills you need to bring them to life. You learn how to find a greater sense of purpose, see how to convey values with stories, learn how to manage attention, feel less stressed, lead through serving others, and more. You'll see these skills illustrated in the inspiring yet imperfect lives of six remarkable leaders: Tom Tierney (former CEO of Bain), Sheryl Sandberg (COO of Facebook), Michelle Obama (former First Lady), Eric Greitens (Republican Governor of Missouri), Julie Foudy (world champion soccer star and three-time Olympic medalist), and Bruce Springsteen (world-famous rock musician). You'll have the opportunity to assess your own leadership skills, and learn simple, proven exercises to practice them. By the end of this course, you'll have the tools you need to develop your skills so you can grow as a leader in all areas of your life and create greater harmony among them. Module 1 Module 2 Module 3 Module 4"
733,lean-manufacturing-services,The hidden value – Lean in manufacturing and services,Aurélie Delemarle Ph.D Dr. Thomas Frost Salvatore Cali  Elsa Blume,Business Business Essentials Value Stream Mapping Lean Manufacturing Lean Thinking Lean Methods,"Lean is a powerful methodology that enables managers and employees to shift their mindset and helps companies to keep their business sustainable by creating competitive advantage. Today, in an increasingly complex and dynamic world, where companies struggle to maintain competitive advantage, Lean is more important than ever.

This course combines the experience of many senior experts and practitioners from the Boston Consulting Group and École des Ponts, and brings perspectives on Lean in manufacturing and services. It offers strong topic foundation as well as deep practical insights into the art of continuous improvement.

In this course, you will learn:
- why Lean is a key driver for sustainable competitive advantage
- how different companies can leverage Lean to create value both in manufacturing and services
- what it takes to drive a Lean transformation and build a culture of continuous improvement 
- how new technologies impact traditional lean practices How Lean benefits companies How to apply Lean to improve manufacturing How to apply Lean to improve services Lean as a new mindset to drive transformation"
734,learn-chinese,Chinese for Beginners,Xiaoyu Liu,Language Learning Other Languages Grammar Communication Chinese Language Speech,"Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course. Who Are You? When Do You Go To School? What Do You Like to Eat? I Like Shopping!"
735,learn-korean,First Step Korean,Seung Hae Kang,Language Learning Other Languages Grammar Korean Language Speech Writing,"This is an elementary-level Korean language course, consisting of 5 lessons with 4 units, and covers 4 skills: reading, writing, listening and speaking. The main topics include basic expressions used in everyday life, such as greetings, introducing yourself, talking about your family and a daily life and so on. Each lesson covers dialogues, pronunciation, vocabulary, grammar, quizzes and role-plays. 

After completing this course, you will be able to
1. read and write Korean alphabet.
2. communicate in Korean with basic expressions.
3. learn basic knowledge on Korean culture.

It’s fun and easy to follow! Enjoy it! Introduction The Korean Alphabet Greetings and Introducing Family Time and Date"
736,learn-speak-korean1,Learn to Speak Korean 1,Sang Mee Han,Language Learning Other Languages ,"Welcome to Learn to Speak Korean 1!
 
This course is for beginner students who are familiar with the Korean alphabet, Hangeul. Through this course students will learn the skills essential for daily interactions with Koreans while living in Korea. 

This course consists of six modules, and each module is composed of five units. Each unit has vocabulary, grammar and expressions, conversation practice, video clips, quizzes, a workbook, and vocabulary lists. In order to assist students with their independent studies, Korean learning materials such as lecture notes, workbooks, and vocabulary lists detailing each day’s lecture are also provided. The vocabulary lists are accompanied by English, Chinese, and Japanese translations.

I hope that you enjoy all this program has to offer over the next six weeks. After studying in this program, you will be able to have a real Korean conversation with your newly acquired knowledge of the Korean language. Thank you!

Your Course Team

Chief Contents Developer: Sang Mee Han
Contents Developers: Bock Ja Lee, Yoo Kyung Choi, Ha Min Cho,  Ju Eun Kim
Production Assistants: Jin Hee Kim, Eun Hye Kim ""Introducing Ones Friends"" ""Introducing Ones Hometown"" Introducing Food Ordering Food"
737,learn-to-program,Learn to Program: The Fundamentals,Jennifer Campbell Paul Gries,Computer Science Software Development Python Syntax And Semantics Computer Programming Python Programming Idle (Python),"Behind every mouse click and touch-screen tap, there is a computer program that makes things happen. This course introduces the fundamental building blocks of programming and teaches you how to write fun and useful programs using the Python language. Python Variables and Functions Strings and Designing Functions Booleans Import Namespaces and if Statements For Loops and Fancy String Manipulation"
738,learning-assessment,Foundations of Teaching for Learning: Introduction to Student Assessment,Dr  Peter Keegan Associate Professor Gavin Brown Professor John MacBeath,Social Sciences Education ,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed. 

There are various techniques which help to assess student learning. This course helps teacher to acquire the skills to develop and use appropriate assessment procedures. 

Enhance your course by joining the Commonwealth teaching community on our website, Facebook and Twitter. An Introduction to Assessment Theory and Practice The nature of feedback in improving teaching and learning Reporting student achievement Guidelines for developing and using objectively answered question procedures"
739,learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects,Dr. Barbara Oakley Dr. Terrence Sejnowski,Personal Development Personal Development Test Preparation Learning To Learn Pomodoro Technique Meta Learning,"This course gives you easy access to the invaluable learning techniques used by experts in art, music, literature, math, science, sports, and many other disciplines. We’ll learn about the how the brain uses two very different learning modes and how it encapsulates (“chunks”) information. We’ll also cover illusions of learning, memory techniques, dealing with procrastination, and best practices shown by research to be most effective in helping you master tough subjects.  

Using these approaches, no matter what your skill levels in topics you would like to master, you can change your thinking and change your life. If you’re already an expert, this peep under the mental hood will give you ideas for: turbocharging successful learning, including counter-intuitive test-taking tips and insights that will help you make the best use of your time on homework and problem sets. If you’re struggling, you’ll see a structured treasure trove of practical techniques that walk you through what you need to do to get on track. If you’ve ever wanted to become better at anything, this course will help serve as your guide.

This course can be taken independent of, concurrent with, or prior to, its companion course, Mindshift. (Learning How to Learn is more learning focused, and Mindshift is more career focused.)

 To join the fully translated Portuguese version of the course, visit: https://www.coursera.org/learn/aprender
 To join the fully translated Spanish version of the course, visit: https://www.coursera.org/learn/aprendiendo-a-aprender
 To join the fully translated Chinese version of the course, visit: https://www.coursera.org/learn/ruhe-xuexi What is Learning? Chunking Procrastination and Memory Renaissance Learning  and Unlocking Your Potential"
740,learning-skills,Learning Mindsets & Skills,Patrick E.  Yurick John  Bosselman Ben Daley Judy Wu,Social Sciences Education ,"The Learning Mindsets & Skills MOOC is designed to explore underlying concepts behind Learning Mindsets & Skills as well as the the practical applications of those concepts in various educational environments. Course Participants will hypothesize a learning mindset-related change to be implemented within their educational environment, test their theory, and present their findings to a wider audience. Learning Mindsets & Skills Explained Measurement & Assessment for Learning Mindsets & Skills Reflection & Dialogue"
741,lesson-design,Teach English Now! Lesson Design and Assessment,Dr. Shane Dixon Dr. Justin Shewell Jessica Cinco,Social Sciences Education ,"Learners will be introduced to designing lesson plans based on principles and knowledge of learning objectives, assessment plans, methods, materials, and learning activities. Learners will find and prepare appropriate teaching materials through careful analysis, adaptation and creation of professional resources. Learners will also reflect on the cohesion between lesson design and teaching philosophies. Basic Instructional Design Activating Background Knowledge and Objective Discussions Presenting Instruction and Modeling Guided to Independent Practice"
742,life-on-other-planets,Imagining Other Earths,David Spergel,Physical Science and Engineering Physics and Astronomy ,"Are we alone? This course introduces core concepts in astronomy, biology, and planetary science that enable the student to speculate scientifically about this profound question and invent their own solar systems.

All the features of this course are available for free.  It does not offer a certificate upon completion. Introduction The Universe is Big! What is Life? Why is Mercury Hot? Snowball Earth Planetary Atmospheres Mercury and Venus Mars The Moon Small Bodies of the Solar System Kepler’s Law and Search for Extrasolar Planets Kepler and Transits"
743,linear-circuits-dcanalysis,Linear Circuits 1: DC Analysis,Dr. Bonnie H. Ferri Dr. Joyelle Harris Dr Mary Ann Weitnauer,Physical Science and Engineering Electrical Engineering ,"This course explains how to analyze circuits that have direct current (DC) current or voltage sources.  A DC source is one that is constant.  Circuits with resistors, capacitors, and inductors are covered, both analytically and experimentally. Some practical applications in sensors are demonstrated. Module 1: Introduction Module 2 Module 3 Module 4"
744,linear-models,Advanced Linear Models for Data Science 1: Least Squares,Brian Caffo PhD,Data Science Probability and Statistics Statistics Linear Regression R Programming Linear Algebra,"Welcome to the Advanced Linear Models for Data Science Class 1: Least Squares. This class is an introduction to least squares from a linear algebraic and mathematical perspective. Before beginning the class make sure that you have the following:

- A basic understanding of linear algebra and multivariate calculus.
- A basic understanding of statistics and regression models.
- At least a little familiarity with proof based mathematics.
- Basic knowledge of the R programming language.

After taking this course, students will have a firm foundation in a linear algebraic treatment of regression modeling. This will greatly augment applied data scientists' general understanding of regression models. Background One and two parameter regression Linear regression General least squares"
745,linear-models-2,Advanced Linear Models for Data Science 2: Statistical Linear Models,Brian Caffo PhD,Data Science Probability and Statistics ,"Welcome to the Advanced Linear Models for Data Science Class 2: Statistical Linear Models. This class is an introduction to least squares from a linear algebraic and mathematical perspective. Before beginning the class make sure that you have the following:

- A basic understanding of linear algebra and multivariate calculus.
- A basic understanding of statistics and regression models.
- At least a little familiarity with proof based mathematics.
- Basic knowledge of the R programming language.

After taking this course, students will have a firm foundation in a linear algebraic treatment of regression modeling. This will greatly augment applied data scientists' general understanding of regression models. Introduction and expected values The multivariate normal distribution Distributional results Residuals"
746,linear-regression-business-statistics,Linear Regression for Business Statistics,Sharad Borle,Data Science Data Analysis Log–Log Plot Interaction (Statistics) Linear Regression Regression Analysis,"Regression Analysis is perhaps the single most important Business Statistics tool used in the industry. Regression is the engine behind a multitude of data analytics applications used for many forms of forecasting and prediction.  
This is the fourth course in the specialization, ""Business Statistics and Analysis"". The course  introduces you to the very important tool known as Linear Regression. You will learn to apply various procedures such as dummy variable regressions, transforming variables, and interaction effects. All these are introduced and explained using easy to understand examples in Microsoft Excel.
The focus of the course is on understanding and application, rather than detailed mathematical derivations.
Note: This course uses the ‘Data Analysis’ tool box which is standard with the Windows version of Microsoft Excel. It is also standard with the 2016 or later Mac version of Excel. However, it is not standard with earlier versions of Excel for Mac. 


WEEK 1
Module 1: Regression Analysis: An Introduction
In this module you will get introduced to the Linear Regression Model. We will build a regression model and estimate it using Excel. We will use the estimated model to infer relationships between various variables and use the model to make predictions. The module also introduces the notion of errors, residuals and R-square in a regression model.

Topics covered include:
•	Introducing the Linear Regression
•	Building a Regression Model and estimating it using Excel
•	Making inferences using the estimated model
•	Using the Regression model to make predictions
•	Errors, Residuals and R-square
 

WEEK 2
Module 2: Regression Analysis: Hypothesis Testing and Goodness of Fit
This module presents different hypothesis tests you could do using the Regression output. These tests are an important part of inference and the module introduces them using Excel based examples. The p-values are introduced along with goodness of fit measures R-square and the adjusted R-square. Towards the end of module we introduce the ‘Dummy variable regression’ which is used to incorporate categorical variables in a regression. 

Topics covered include:
•	Hypothesis testing in a Linear Regression
•	‘Goodness of Fit’ measures (R-square, adjusted R-square)
•	Dummy variable Regression (using Categorical variables in a Regression)
 

WEEK 3
Module 3: Regression Analysis: Dummy Variables, Multicollinearity
This module continues with the application of Dummy variable Regression. You get to understand the interpretation of Regression output in the presence of categorical variables. Examples are worked out to re-inforce various concepts introduced. The module also explains what is Multicollinearity and how to deal with it. 

Topics covered include:
•	Dummy variable Regression (using Categorical variables in a Regression)
•	Interpretation of coefficients and p-values in the presence of Dummy variables
•	Multicollinearity in Regression Models
 

WEEK 4
Module 4: Regression Analysis: Various Extensions
The module extends your understanding of the Linear Regression, introducing techniques such as mean-centering of variables and building confidence bounds for predictions using the Regression model. A powerful regression extension known as ‘Interaction variables’ is introduced and explained using examples. We also study the transformation of variables in a regression and in that context introduce the log-log and the semi-log regression models. 

Topics covered include:
•	Mean centering of variables in a Regression model
•	Building confidence bounds for predictions using a Regression model
•	Interaction effects in a Regression
•	Transformation of variables
•	The log-log and semi-log regression models Regression Analysis: An Introduction Regression Analysis: Hypothesis Testing and Goodness of Fit Regression Analysis: Dummy Variables Multicollinearity Regression Analysis: Various Extensions"
747,linear-regression-model,Linear Regression and Modeling ,Mine Çetinkaya-Rundel,Data Science Data Analysis Statistics Linear Regression R Programming Regression Analysis,"This course introduces simple and multiple linear regression models. These models allow you to assess the relationship between variables in a data set and a continuous response variable. Is there a relationship between the physical attractiveness of a professor and their student evaluation scores? Can we predict the test score for a child based on certain characteristics of his or her mother? In this course, you will learn the fundamental theory behind linear regression and, through data examples, learn to fit, examine, and utilize regression models to examine relationships between multiple variables, using the free statistical software R and RStudio. About Linear Regression and Modeling Linear Regression More about Linear Regression Multiple Regression Final Project"
748,literacy-teaching-learning,"Literacy Teaching and Learning: Aims, Approaches and Pedagogies",Dr William Cope Dr Mary Kalantzis,Social Sciences Education ,"This course opens with an exploration of the social context and aims of literacy teaching and learning. It goes on to describe a range of historical and contemporary approaches to literacy pedagogy, including didactic, authentic, functional, and critical approaches. The course takes has a 'Multiliteracies' perspective, which aims to expand the definition of literacy to encompass today's multimodal communications, and the diversity of literacies across different social and culltural contexts. A Multiliteracies approach also suggests a broad range of activity types—experiential, conceptual, analytical and critical.

--------------------------------
Recommended Background
--------------------------------

This course is designed for people interested in literacy teaching and learning, including people who may wish to join education as a profession, practicing teachers interested in exploring future directions for a vocation that is currently undergoing transformation, and community and workplace leaders who regard their mission to be in part ""educative.""

--------------------------------
Take this Course for Credit at the University of Illinois.
--------------------------------

This course has the same content and anticipates the same level of contribution by students in the 'New Media and Literacies' course offered to graduate certificate, masters and doctoral level students in the College of Education at the University of Illinois.

Of course, in the nature of MOOCs many people will just want to view the videos and casually join some of the discussions. Some people say that these limited kinds of participation offer evidence that MOOCs suffer from low retention rates. Far from it - we say that any level of engagement is good engagement.

On the other hand, if you would like to take this course for credit at the University of Illinois, apply here: http://education.illinois.edu/online-offcampus/programs-degrees/ldl-online If you have already taken this course in Coursera, you can prepare a portfolio of work created there and request that this work is taken into account for your University of Illinois course. The Aims of Literacy  Theory and Practice of Literacies Learning and Teaching Didactic + Authentic Approaches to Literacy Functional + Critical Approaches to Literacy"
749,livestock-farming,Sustainable Food Production Through Livestock Health Management,Dr. Jim Lowe DVM MS Dip ABVP (Food Animal) Dr. Brian Aldridge BVSc MS PhD Dip ACVIM (Large Animal) MRCVS,Health Animal Health Disease Control Animal Nutrition Animal Behavior,"Learn about the impact of infectious disease on sustainable animal-based food production by understanding the science of growth, immunity, and infection and by learning the problem-solving skills needed to advance animal health and food production through optimal management practices.

There is a growing global need in agricultural production for a workforce that is capable of integrating knowledge of animal health and production with an understanding of consumer preferences in the context of economic reality, business efficiency, and ethical constraint.  However, current evidence suggests that there is a growing shortage of people with the knowledge and problem-solving skills required to match the rapid advances being made in animal health, science, and food production.  The results of this shortage are wide-ranging and could lead to challenges in food security and agricultural economic competitiveness in some countries.

In this course we will explore the effect of infectious disease on sustainable animal-based food production. The content and learning outcomes of this new course will be designed to be relevant across different food production sectors (i.e., beef, dairy, poultry, and pigs). While the instructors will provide the participants with a strong scientific base for understanding the impact of infectious disease in animal-based food production, the emphasis of the material will be on practical problem-solving and will be directed towards equipping participants with a platform for developing the skills needed to contribute to sustainable food production. Course Orientation Week 1: Animals and Sustainable Food Production Week 2: Disease as a Barrier to Sustainability ""Week 3: Animals Response to Infectious Disease"" Week 4: Our Role in Fighting Infectious Disease"
750,logic-introduction,Introduction to Logic,Michael Genesereth,Math and Logic Math and Logic Relational Algebra Problem Solving Propositional Calculus Mathematical Logic,"This course is an introduction to Logic from a computational perspective. It shows how to encode information in the form of logical sentences; it shows how to reason with information in this form; and it provides an overview of logic technology and its applications - in mathematics, science, engineering, business, law, and so forth. Lesson 1 - Introduction Lesson 2 - Propositional Logic Lesson 3 - Propositional Analysis Lesson 4 - Propositional Proofs Lesson 5 - Propositional Resolution"
751,logical-fallacies,Think Again IV: How to Avoid Fallacies,Dr. Walter  Sinnott-Armstrong Dr. Ram  Neta,Personal Development Personal Development ,"How to Avoid Fallacies

Think Again: How to Reason and Argue
Reasoning is important. This series of four short courses will teach you how to do it well. You will learn simple but vital rules to follow in thinking about any topic at all and common and tempting mistakes to avoid in reasoning. We will discuss how to identify, analyze, and evaluate arguments by other people (including politicians, used car salesmen, and teachers) and how to construct arguments of your own in order to help you decide what to believe or what to do. These skills will be useful in dealing with whatever matters most to you.

Courses at a Glance:
All four courses in this series are offered through sessions which run every four weeks. We suggest sticking to the weekly schedule to the best of your ability. If for whatever reason you fall behind, feel free to re-enroll in the next session.We also suggest that you start each course close to the beginning of a month in order to increase the number of peers in the discussion forums who are working on the same material as you are. While each course can be taken independently, we suggest you take the four courses in order.

Course 1 - Think Again I: How to Understand Arguments
Course 2 - Think Again II: How to Reason Deductively
Course 3 - Think Again III: How to Reason Inductively
Course 4 - Think Again IV: How to Avoid Fallacies

About This Course in the Series:
We encounter fallacies almost everywhere we look. Politicians, salespeople, and children commonly use fallacies in order to get us to think what they want us to think. Think Again: Fallacies will show how to identify and avoid many of the fallacies that people use to get us to think the way they want us to think.

In this course, you will learn about fallacies. Fallacies are arguments that suffer from one or more common but avoidable defects:  equivocation, circularity, vagueness, etc. It’s important to learn about fallacies so that you can recognize them when you see them, and not be fooled by them. It’s also important to learn about fallacies so that you avoid making fallacious arguments yourself.

Suggested Readings
Students who want more detailed explanations or additional exercises or who want to explore these topics in more depth should consult Understanding Arguments: An Introduction to Informal Logic, Ninth Edition, Concise, Chapters 13-17, by Walter Sinnott-Armstrong and Robert Fogelin.

Course Format
Each week will be divided into multiple video segments that can be viewed separately or in groups. There will be short ungraded quizzes after each segment (to check comprehension) and a longer graded quiz at the end of the course. Welcome to the Course Fallacies of Unclarity  Fallacies of Relevance Fallacies of Vacuity and Circularity  Refutation: Its Varieties and PItfalls Catch-Up and Final Quiz"
